Treatment,Timepoint,Replicate,Clone,TotalSpacers,Zero,One,Two,Three,Four,FiveOrMore,Single,Multiple
1-clone,7,1,1.5,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.6,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.7,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.8,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.9,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.1,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.11,2,0,0,1,0,0,0,0,1
1-clone,7,1,1.12,2,0,0,1,0,0,0,0,1
1-clone,7,5,5.1,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.2,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.3,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.4,4,0,0,0,0,1,0,0,1
1-clone,7,5,5.5,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.6,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.7,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.8,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.9,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.1,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.11,3,0,0,0,1,0,0,0,1
1-clone,7,5,5.12,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.1,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.2,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.3,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.4,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.5,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.6,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.7,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.8,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.9,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.1,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.11,3,0,0,0,1,0,0,0,1
1-clone,7,7,7.12,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.1,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.2,4,0,0,0,0,1,0,0,1
1-clone,7,8,8.3,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.4,4,0,0,0,0,1,0,0,1
1-clone,7,8,8.5,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.6,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.7,4,0,0,0,0,1,0,0,1
1-clone,7,8,8.8,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.9,4,0,0,0,0,1,0,0,1
1-clone,7,8,8.1,3,0,0,0,1,0,0,0,1
1-clone,7,8,8.11,4,0,0,0,0,1,0,0,1
1-clone,7,8,8.12,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.1,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.2,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.3,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.4,4,0,0,0,0,1,0,0,1
1-clone,7,9,9.5,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.6,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.7,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.8,3,0,0,0,1,0,0,0,1
1-clone,7,9,9.9,2,0,0,1,0,0,0,0,1
1-clone,7,9,9.1,2,0,0,1,0,0,0,0,1
1-clone,7,9,9.11,4,0,0,0,0,1,0,0,1
1-clone,7,9,9.12,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.1,4,0,0,0,0,1,0,0,1
1-clone,7,10,10.2,4,0,0,0,0,1,0,0,1
1-clone,7,10,10.3,4,0,0,0,0,1,0,0,1
1-clone,7,10,10.4,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.5,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.6,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.7,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.8,4,0,0,0,0,1,0,0,1
1-clone,7,10,10.9,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.1,3,0,0,0,1,0,0,0,1
1-clone,7,10,10.11,4,0,0,0,0,1,0,0,1
1-clone,7,10,10.12,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.1,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.2,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.3,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.4,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.5,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.6,4,0,0,0,0,1,0,0,1
1-clone,7,11,11.7,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.8,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.9,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.1,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.11,3,0,0,0,1,0,0,0,1
1-clone,7,11,11.12,3,0,0,0,1,0,0,0,1
