Treatment,Timepoint,Group,Mean.Infect,Infect.Lower,Infect.Upper
1-clone,t1,1,0.0631628,0.04044489,0.09734066
1-clone,t3,1,0.3813291,0.3154868,0.4518421
1-clone,t5,1,0.2337027,0.1851792,0.2904095
1-clone,t7,1,0.008058885,0.004344326,0.01490199
5-clone,t1,1,0.03599838,0.02281259,0.0563698
5-clone,t3,1,0.17999,0.1307061,0.2426692
5-clone,t5,1,0.1103757,0.07719461,0.1554172
5-clone,t7,1,0.2845027,0.2154798,0.365339
