Treatment,Environment,Group,Mean.Infect,Infect.Lower,Infect.Upper
1-clone,Past,1,0.002690792,0.000954898,0.007558465
1-clone,Contemporary,1,0.05739246,0.04821982,0.06818497
1-clone,Future,1,0.02608692,0.01025064,0.06478732
5-clone,Past,1,0.001796991,0.000880526,0.003663827
5-clone,Contemporary,1,0.05763653,0.04550817,0.06442227
5-clone,Future,1,0.01297383,0.005268758,0.03158904
