Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
5-clone,3,1,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,2,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,3,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,4,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,5,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,6,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,7,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,8,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,9,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,10,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,11,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,12,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,1,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,2,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,3,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,4,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,5,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,6,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,7,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,8,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,9,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,10,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,11,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,12,Contemporary,3,0,0,1,0,1,0,0,0,1,1,1,0
5-clone,3,1,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,2,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,3,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,4,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,5,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,6,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,7,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,8,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,9,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,10,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,11,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,12,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,1,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,2,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,3,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,4,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,5,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,6,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,7,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,8,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,9,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,10,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,11,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,3,12,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
