ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
.6.11,6,1-clone,t7,,,,,,,,,
.6.12,6,1-clone,t7,,,,,,,,,
.6.13,6,1-clone,t7,,,,,,,,,
.6.14,6,1-clone,t7,,,,,,,,,
.6.15,6,1-clone,t7,,,,,,,,,
.6.16,6,1-clone,t7,,,,,,,,,
.6.17,6,1-clone,t7,,,,,,,,,
.6.18,6,1-clone,t7,,,,,,,,,
.6.19,6,1-clone,t7,,,,,,,,,
.6.20,6,1-clone,t7,,,,,,,,,
.6.21,6,1-clone,t7,,,,,,,,,
.6.22,6,1-clone,t7,,,,,,,,,
.6.23,6,1-clone,t7,,,,,,,,,
.6.24,6,1-clone,t7,,,,,,,,,
7.1,7,1-clone,t7,,,,,,,,,
7.2,7,1-clone,t7,,,,,,,,,
7.3,7,1-clone,t7,,,,,,,,,
7.4,7,1-clone,t7,,,,,,,,,
7.5,7,1-clone,t7,,,,,,,,,
7.6,7,1-clone,t7,,,,,,,,,
7.7,7,1-clone,t7,,,,,,,,,
7.8,7,1-clone,t7,,,,,,,,,
7.9,7,1-clone,t7,,,,,,,,,
7.1,7,1-clone,t7,,,,,,,,,
7.11,7,1-clone,t7,,,,,,,,,
7.12,7,1-clone,t7,,,,,,,,,
7.13,7,1-clone,t7,,,,,,,,,
7.14,7,1-clone,t7,,,,,,,,,
7.15,7,1-clone,t7,,,,,,,,,
7.16,7,1-clone,t7,,,,,,,,,
7.17,7,1-clone,t7,,,,,,,,,
7.18,7,1-clone,t7,,,,,,,,,
7.19,7,1-clone,t7,,,,,,,,,
7.2,7,1-clone,t7,,,,,,,,,
7.21,7,1-clone,t7,,,,,,,,,
7.22,7,1-clone,t7,,,,,,,,,
7.23,7,1-clone,t7,,,,,,,,,
7.24,7,1-clone,t7,,,,,,,,,
8.1,8,1-clone,t7,,,,,,,,,
8.2,8,1-clone,t7,,,,,,,,,
8.3,8,1-clone,t7,,,,,,,,,
8.4,8,1-clone,t7,,,,,,,,,
8.5,8,1-clone,t7,,,,,,,,,
8.6,8,1-clone,t7,,,,,,,,,
8.7,8,1-clone,t7,,,,,,,,,
8.8,8,1-clone,t7,,,,,,,,,
8.9,8,1-clone,t7,,,,,,,,,
8.1,8,1-clone,t7,,,,,,,,,
8.11,8,1-clone,t7,,,,,,,,,
8.12,8,1-clone,t7,,,,,,,,,
8.13,8,1-clone,t7,,,,,,,,,
8.14,8,1-clone,t7,,,,,,,,,
8.15,8,1-clone,t7,,,,,,,,,
8.16,8,1-clone,t7,,,,,,,,,
8.17,8,1-clone,t7,,,,,,,,,
8.18,8,1-clone,t7,,,,,,,,,
8.19,8,1-clone,t7,,,,,,,,,
8.2,8,1-clone,t7,,,,,,,,,
8.21,8,1-clone,t7,,,,,,,,,
8.22,8,1-clone,t7,,,,,,,,,
8.23,8,1-clone,t7,,,,,,,,,
8.24,8,1-clone,t7,,,,,,,,,
9.1,9,1-clone,t7,,,,,,,,,
9.2,9,1-clone,t7,,,,,,,,,
9.3,9,1-clone,t7,,,,,,,,,
9.4,9,1-clone,t7,,,,,,,,,
9.5,9,1-clone,t7,,,,,,,,,
9.6,9,1-clone,t7,,,,,,,,,
9.7,9,1-clone,t7,,,,,,,,,
9.8,9,1-clone,t7,,,,,,,,,
