ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
.1.1,1,1-clone,t5,,,,,,,,,
.1.2,1,1-clone,t5,,,,,,,,,
.1.3,1,1-clone,t5,,,,,,,,,
.1.4,1,1-clone,t5,,,,,,,,,
.1.5,1,1-clone,t5,,,,,,,,,
.1.6,1,1-clone,t5,,,,,,,,,
.1.7,1,1-clone,t5,,,,,,,,,
.1.8,1,1-clone,t5,,,,,,,,,
.1.9,1,1-clone,t5,,,,,,,,,
.1.10,1,1-clone,t5,,,,,,,,,
.1.11,1,1-clone,t5,,,,,,,,,
.1.12,1,1-clone,t5,,,,,,,,,
.1.13,1,1-clone,t5,,,,,,,,,
.1.14,1,1-clone,t5,,,,,,,,,
.1.15,1,1-clone,t5,,,,,,,,,
.1.16,1,1-clone,t5,,,,,,,,,
.1.17,1,1-clone,t5,,,,,,,,,
.1.18,1,1-clone,t5,,,,,,,,,
.1.19,1,1-clone,t5,,,,,,,,,
.1.20,1,1-clone,t5,,,,,,,,,
.1.21,1,1-clone,t5,,,,,,,,,
.1.22,1,1-clone,t5,,,,,,,,,
.1.23,1,1-clone,t5,,,,,,,,,
.1.24,1,1-clone,t5,,,,,,,,,
.2.1,2,1-clone,t5,,,,,,,,,
.2.2,2,1-clone,t5,,,,,,,,,
.2.3,2,1-clone,t5,,,,,,,,,
.2.4,2,1-clone,t5,,,,,,,,,
.2.5,2,1-clone,t5,,,,,,,,,
.2.6,2,1-clone,t5,,,,,,,,,
.2.7,2,1-clone,t5,,,,,,,,,
.2.8,2,1-clone,t5,,,,,,,,,
.2.9,2,1-clone,t5,,,,,,,,,
.2.10,2,1-clone,t5,,,,,,,,,
.2.11,2,1-clone,t5,,,,,,,,,
.2.12,2,1-clone,t5,,,,,,,,,
.2.13,2,1-clone,t5,,,,,,,,,
.2.14,2,1-clone,t5,,,,,,,,,
.2.15,2,1-clone,t5,,,,,,,,,
.2.16,2,1-clone,t5,,,,,,,,,
.2.17,2,1-clone,t5,,,,,,,,,
.2.18,2,1-clone,t5,,,,,,,,,
.2.19,2,1-clone,t5,,,,,,,,,
.2.20,2,1-clone,t5,,,,,,,,,
.2.21,2,1-clone,t5,,,,,,,,,
.2.22,2,1-clone,t5,,,,,,,,,
.2.23,2,1-clone,t5,,,,,,,,,
.2.24,2,1-clone,t5,,,,,,,,,
.3.1,3,1-clone,t5,,,,,,,,,
.3.2,3,1-clone,t5,,,,,,,,,
.3.3,3,1-clone,t5,,,,,,,,,
.3.4,3,1-clone,t5,,,,,,,,,
.3.5,3,1-clone,t5,,,,,,,,,
.3.6,3,1-clone,t5,,,,,,,,,
.3.7,3,1-clone,t5,,,,,,,,,
.3.8,3,1-clone,t5,,,,,,,,,
.3.9,3,1-clone,t5,,,,,,,,,
.3.10,3,1-clone,t5,,,,,,,,,
.3.11,3,1-clone,t5,,,,,,,,,
.3.12,3,1-clone,t5,,,,,,,,,
.3.13,3,1-clone,t5,,,,,,,,,
.3.14,3,1-clone,t5,,,,,,,,,
.3.15,3,1-clone,t5,,,,,,,,,
.3.16,3,1-clone,t5,,,,,,,,,
.3.17,3,1-clone,t5,,,,,,,,,
.3.18,3,1-clone,t5,,,,,,,,,
.3.19,3,1-clone,t5,,,,,,,,,
.3.20,3,1-clone,t5,,,,,,,,,
.3.21,3,1-clone,t5,,,,,,,,,
.3.22,3,1-clone,t5,,,,,,,,,
.3.23,3,1-clone,t5,,,,,,,,,
.3.24,3,1-clone,t5,,,,,,,,,
.4.1,4,1-clone,t5,,,,,,,,,
.4.2,4,1-clone,t5,,,,,,,,,
.4.3,4,1-clone,t5,,,,,,,,,
.4.4,4,1-clone,t5,,,,,,,,,
.4.5,4,1-clone,t5,,,,,,,,,
.4.6,4,1-clone,t5,,,,,,,,,
.4.7,4,1-clone,t5,,,,,,,,,
.4.8,4,1-clone,t5,,,,,,,,,
.4.9,4,1-clone,t5,,,,,,,,,
.4.10,4,1-clone,t5,,,,,,,,,
.4.11,4,1-clone,t5,,,,,,,,,
.4.12,4,1-clone,t5,,,,,,,,,
