Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
1-clone,7,1,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,2,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,3,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,4,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,5,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,6,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,7,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,8,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,9,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,10,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,11,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,12,Contemporary,1,0,1,0,0,0,0,0,0,0,0,0,0
1-clone,7,1,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,2,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,3,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,4,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,5,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,6,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,7,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,8,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,9,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,10,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,11,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,12,Past,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,1,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,2,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,3,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,4,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,5,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,6,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,7,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,8,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,9,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,10,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,11,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,12,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,1,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,2,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,3,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,4,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,5,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,6,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,7,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,8,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,9,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,10,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,11,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,7,12,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
