Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
5-clone,6,1,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,2,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,3,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,4,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,5,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,6,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,7,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,8,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,9,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,10,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,11,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,12,Future,1,0,0,0,0,1,1,0,0,0,0,0,1
5-clone,6,1,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,2,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,3,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,4,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,5,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,6,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,7,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,8,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,9,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,10,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,11,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,12,Contemporary,3,1,0,0,0,0,0,0,0,1,0,0,0
5-clone,6,1,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,2,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,3,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,4,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,5,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,6,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,7,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,8,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,9,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,10,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,11,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,12,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,1,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,2,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,3,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,4,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,5,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,6,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,7,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,8,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,9,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,10,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,11,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,6,12,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
