ID,bottleneck,timepoint,pfu,cfu,raw.count,dilution,
2,5-clone,t20,0.00E+00,NA,,,
3,5-clone,t20,0.00E+00,NA,,,
4,5-clone,t20,0.00E+00,NA,,,
5,5-clone,t20,0.00E+00,NA,,,
6,5-clone,t20,0.00E+00,NA,,,
7,5-clone,t20,0.00E+00,NA,,,
8,5-clone,t20,0.00E+00,NA,,,
9,5-clone,t20,0.00E+00,NA,,,
10,5-clone,t20,0.00E+00,NA,,,
11,5-clone,t20,0.00E+00,NA,,,
12,5-clone,t20,0.00E+00,NA,,,
