Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
1-clone,10,1,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,2,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,3,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,4,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,5,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,6,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,7,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,8,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,9,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,10,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,11,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,12,Future,1,0,0,0,1,0,0,0,0,0,0,0,0
1-clone,10,1,Contemporary,3,1,1,0,1,0,1,0,1,1,1,1,1
1-clone,10,2,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,3,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,4,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,5,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,6,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,7,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,8,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,9,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,10,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,11,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,12,Contemporary,3,1,1,0,1,1,1,1,1,1,1,1,1
1-clone,10,1,Past,5,1,0,1,0,1,1,0,1,1,0,1,1
1-clone,10,2,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,3,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,4,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,5,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,6,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,7,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,8,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,9,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,10,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,11,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,12,Past,5,1,0,1,1,1,1,1,1,1,0,1,1
1-clone,10,1,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,2,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,3,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,4,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,5,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,6,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,7,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,8,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,9,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,10,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,11,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,10,12,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
