Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
5-clone,9,1,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,2,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,3,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,4,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,5,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,6,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,7,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,8,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,9,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,10,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,11,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,12,Future,1,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,1,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,2,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,3,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,4,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,5,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,6,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,7,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,8,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,9,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,10,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,11,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,12,Contemporary,3,0,1,0,1,1,0,1,0,1,1,0,0
5-clone,9,1,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,2,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,3,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,4,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,5,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,6,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,7,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,8,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,9,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,10,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,11,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,12,Past,5,1,1,1,0,0,0,1,1,0,1,0,0
5-clone,9,1,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,2,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,3,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,4,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,5,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,6,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,7,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,8,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,9,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,10,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,11,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
5-clone,9,12,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
