time_to_death,status,replicate,bottleneck
7,0,1,1-clone
3,1,2,1-clone
7,1,3,1-clone
3,1,4,1-clone
7,0,5,1-clone
3,1,6,1-clone
7,0,7,1-clone
7,0,8,1-clone
7,0,9,1-clone
7,0,10,1-clone
7,0,11,1-clone
3,1,12,1-clone
6,1,1,5-clone
7,0,2,5-clone
7,0,3,5-clone
6,1,4,5-clone
4,1,5,5-clone
7,0,6,5-clone
7,0,7,5-clone
5,1,8,5-clone
7,0,9,5-clone
6,1,10,5-clone
5,1,11,5-clone
6,1,12,5-clone
